Time,Electric Degrade,Electricity Availability,Communications Function,IT Function,Healthcare Function,Transportation Function,Emergency Services Functionality,Critical Manufacturing Functionality,Water Functionality,
473,0.2,20,100,100,100,99.22373425,100,99.53361078,100,
474,0.2,20,100,100,100,99.15191217,100,99.46242107,100,
475,0.2,20,100,100,100,99.11908787,100,99.42982929,100,
476,0.2,20,100,100,100,99.01490329,100,99.32573022,100,
477,0.2,20,100,100,100,98.94224942,100,99.25310777,100,
478,0.2,20,100,100,100,98.86252324,100,99.17339316,100,
479,0.2,20,100,100,100,98.73784074,100,99.04871491,100,
480,0.2,20,100,100,100,98.65068341,100,98.96155914,100,
481,0.2,20,100,100,100,98.56212286,100,98.87299917,100,
482,0.2,20,100,100,100,98.48385794,100,98.79473446,100,
483,0.2,20,100,100,100,98.43083418,100,98.74171078,100,
484,0.2,20,100,100,100,98.41133759,100,98.72221421,100,
485,0.2,20,100,100,100,98.35029609,100,98.66117273,100,
486,0.2,20,100,100,100,98.23262471,100,98.54350135,100,
487,0.2,20,100,100,100,98.1487655,100,98.45964214,100,
488,0.2,20,100,100,100,98.05673816,100,98.3676148,100,
489,0.2,20,100,100,100,97.94004415,100,98.25092079,100,
490,0.2,20,100,100,100,97.79312524,100,98.10400188,100,
491,0.2,20,100,100,100,97.67101127,100,97.98188791,100,
492,0.2,20,100,100,100,97.62611052,100,97.93698716,100,
493,0.2,20,100,100,100,97.60960072,100,97.92047736,100,
494,0.2,20,100,100,100,97.5612304,100,97.87210704,100,
495,0.2,20,100,100,100,97.44087747,100,97.75175411,100,
496,0.2,20,100,100,100,97.32923233,100,97.64010897,100,
497,0.2,20,100,100,100,97.24751814,100,97.55839478,100,
498,0.2,20,100,100,100,97.2174722,100,97.52834884,100,
499,0.2,20,100,100,100,97.20642445,100,97.51730109,100,
500,0.2,20,100,100,100,97.20236224,100,97.51323888,100,
501,0.2,20,100,100,100,97.18627844,100,97.49715509,100,
502,0.2,20,100,100,100,97.06849373,100,97.37937037,100,
503,0.2,20,100,100,100,97.02518483,100,97.33606147,100,
504,0.2,20,100,100,100,96.93973692,100,97.25061356,100,
505,0.2,20,100,100,100,96.7016639,100,97.02236497,100,
506,0.2,20,100,100,100,96.35688888,100,96.752486,100,
507,0.2,20,100,100,100,96.10312133,100,96.53147491,100,
508,0.2,20,100,100,100,95.97468678,100,96.41508476,100,
509,0.2,20,100,100,100,95.92746199,100,96.37228864,100,
510,0.2,20,100,100,100,95.84258288,100,96.28903792,100,
511,0.2,20,100,100,100,95.68919661,100,96.13625042,100,
512,0.2,20,100,100,100,95.63279719,100,96.08007115,100,
513,0.2,20,100,100,100,95.52172539,100,95.96908031,100,
514,0.2,20,100,100,100,95.28690495,100,95.73428964,100,
515,0.2,20,100,100,100,95.1687241,100,95.61611973,100,
516,0.2,20,100,100,100,95.03158994,100,95.4789896,100,
517,0.2,20,100,100,100,94.94838502,100,95.39578616,100,
518,0.2,20,100,100,100,94.86390121,100,95.31130288,100,
519,0.2,20,100,100,100,94.82349618,100,95.27089806,100,
520,0.2,20,100,100,100,94.79193995,100,95.2393419,100,
521,0.2,20,100,100,100,94.67891403,100,95.12631601,100,
522,0.2,20,100,100,100,94.60247461,100,95.0498766,100,
523,0.2,20,100,100,100,94.47564541,100,94.9230474,100,
524,0.2,20,100,100,100,94.42781447,100,94.87521647,100,
525,0.2,20,100,100,100,94.31847131,100,94.76587331,100,
526,0.2,20,100,100,100,94.16628727,100,94.61368927,100,
527,0.2,20,100,100,100,94.0275033,100,94.47490529,100,
528,0.2,20,100,100,100,93.68958581,100,94.1586921,100,
529,0.2,20,100,100,100,93.50647938,100,93.99455386,100,
530,0.2,20,100,100,100,93.43915198,100,93.93420098,100,
531,0.2,20,100,100,100,93.414396,100,93.9120095,100,
532,0.2,20,100,100,100,93.27632005,100,93.7748765,100,
533,0.2,20,100,100,100,93.09984395,100,93.59874712,100,
534,0.2,20,100,100,100,92.97348171,100,93.47251237,100,
535,0.2,20,100,100,100,92.88849335,100,93.38757089,100,
536,0.2,20,100,100,100,92.80597739,100,93.30507217,100,
537,0.2,20,100,100,100,92.67510866,100,93.17420977,100,
538,0.2,20,100,100,100,92.56225789,100,93.06136134,100,
539,0.2,20,100,100,100,92.45966149,100,92.95876578,100,
540,0.2,20,100,100,100,92.34165966,100,92.84076427,100,
541,0.2,20,100,100,100,92.25208761,100,92.75119234,100,
542,0.2,20,100,100,100,92.21915238,100,92.71825715,100,
543,0.2,20,100,100,100,92.20704224,100,92.70614703,100,
544,0.2,20,100,100,100,92.2025894,100,92.70169419,100,
545,0.2,20,100,100,100,92.16839606,100,92.66750085,100,
546,0.2,20,100,100,100,92.10009963,100,92.59920442,100,
547,0.2,20,100,100,100,91.96968559,100,92.46879039,100,
548,0.2,20,100,100,100,91.86239262,100,92.36149741,100,
549,0.2,20,100,100,100,91.76004573,100,92.25915053,100,
